model,pollutant,horizon,RMSE,MAE,MAPE,R2,train_time
Ridge,NOx(GT),24h,165.23721964991043,118.18398383160357,43.145325854586424,0.28599434161900716,0.263430118560791
Lasso,NOx(GT),1h,91.04143814697922,65.2593945705105,27.392033658441008,0.7824342174407385,9.030677795410156
Lasso,NOx(GT),6h,157.1406735968914,116.3754397868889,47.88914827588679,0.3529254345012176,6.963429689407349
Lasso,NOx(GT),12h,167.0845083534206,117.70735641521776,42.2538212296004,0.26947289936414853,11.971951007843018
Lasso,NOx(GT),24h,165.319982850427,118.25093259638463,43.143259952875525,0.2852789072537597,6.099762916564941
ElasticNet,NOx(GT),1h,91.32558160769531,65.01051975700416,27.412231478018413,0.7810740375784987,14.93555212020874
ElasticNet,NOx(GT),6h,157.94853953386502,116.07476251555332,46.93998476632187,0.34625506424913977,13.964673042297363
ElasticNet,NOx(GT),12h,166.91825924175143,117.58930177025364,42.07926605732877,0.27092592528020476,14.623060941696167
ElasticNet,NOx(GT),24h,166.4934423339653,118.50040127189719,42.800419215663425,0.27509655894827556,13.073605060577393
Linear Regression,NO2(GT),1h,24.953424062621156,18.80105798693032,15.610379487208412,0.7501028105847453,0.2892310619354248
Linear Regression,NO2(GT),6h,42.688777233585746,33.20269660790424,26.688764601055215,0.2697758915575783,0.2940940856933594
Linear Regression,NO2(GT),12h,44.74141502199314,34.76227219487848,26.06056019482169,0.19834470593744846,0.2932240962982178
Linear Regression,NO2(GT),24h,48.360322721987224,37.98268271208163,26.36200368186313,0.0675379991096634,0.2777111530303955
Ridge,NO2(GT),1h,23.703822354261018,17.8223527989009,15.349758258976664,0.774504518007049,0.21764516830444336
Ridge,NO2(GT),6h,38.45718920007541,30.08871053456079,26.003239792725697,0.4073697514897803,0.24201607704162598
Ridge,NO2(GT),12h,39.43232808600345,30.24717875762006,23.90826600092358,0.37730830765903056,0.2665829658508301
Ridge,NO2(GT),24h,39.35750453477208,30.271684972995875,23.54997908315138,0.3823991709228668,0.20161724090576172
Lasso,NO2(GT),1h,23.701309801880868,17.821535473854976,15.340750556879016,0.7745523195112951,5.1749303340911865
Lasso,NO2(GT),6h,38.40790584732829,29.994300915035694,25.81774183926261,0.4088877038807842,4.207568883895874
Lasso,NO2(GT),12h,39.558793308126326,30.33703167996786,23.90655459082799,0.3733077767990973,6.755279064178467
Lasso,NO2(GT),24h,39.44188062618909,30.26294708031738,23.673961463064277,0.3797482608556835,6.140881061553955
ElasticNet,NO2(GT),1h,23.776858695433333,17.803212679581705,15.352603240637485,0.7731127814798536,13.534822940826416
ElasticNet,NO2(GT),6h,38.72595188888307,30.213833716745828,25.833315416699776,0.399057471509935,15.944097995758057
ElasticNet,NO2(GT),12h,39.50124265327648,30.286408596668732,23.937826522228058,0.3751298906592846,13.24442195892334
ElasticNet,NO2(GT),24h,39.241974716543766,30.074358386354827,23.63589943569698,0.3860196539908364,14.06368112564087
Random Forest,CO(GT),1h,0.7275219767893398,0.5379356802482218,49.52713814315787,0.6968654756001673,267.52219223976135
Random Forest,CO(GT),6h,1.1207450635286795,0.8934578168346817,90.62705830092156,0.2819914268701862,252.3162009716034
Random Forest,CO(GT),12h,1.0889356935617671,0.8534314499960988,85.10396858901898,0.3233805319970897,233.85352396965027
Random Forest,CO(GT),24h,1.1662684098814675,0.9345757257886399,97.72539164045571,0.2258461330420406,245.4932370185852
Random Forest,C6H6(GT),1h,3.21493298231742,2.255254859781388,45.981270986106686,0.7456818367672234,118.58737683296204
Random Forest,C6H6(GT),6h,5.025834861832628,3.939527876613013,98.47513859587163,0.37972967703254923,103.62945508956909
Random Forest,C6H6(GT),12h,5.615653309004188,4.481366410266835,128.35324229753428,0.22681886852940003,123.5391960144043
Random Forest,C6H6(GT),24h,5.869681348608396,4.744657868132997,135.82306143890253,0.15882442034847466,142.7875692844391
Random Forest,NOx(GT),1h,101.3762485680771,72.49259302161343,28.166366487221158,0.7302354945193181,162.58055710792542
Random Forest,NOx(GT),6h,191.9314988406571,132.30050193330095,40.91889088465655,0.03468374770547733,161.09828686714172
Random Forest,NOx(GT),12h,163.28387658718623,115.68301276500443,43.4937876051154,0.3023291676243409,149.39478182792664
Random Forest,NOx(GT),24h,170.74795063302798,120.66411011651336,44.71339812931367,0.23757540852758052,148.27085304260254
