pollutant,R2_mean,R2_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std
NO2(GT),0.4121734342183485,0.25009233905726175,37.39894174006645,8.510522221418746,28.75366882662321,6.911252780739512
NOx(GT),0.3370075717351307,0.3129560558832008,154.20394829349445,39.80930346533092,112.45840923756074,30.205256283315112
CO(GT),0.25224453046723816,0.40235240335066624,1.1055709520139483,0.30081904742778187,0.8573571832192725,0.2452893145250063
C6H6(GT),0.14185568586885178,0.869604908515424,5.500912712552576,2.2121372668908466,4.226578408894137,1.8773873995488708
