model,pollutant,horizon_h,R2,RMSE,MAE,MAPE(%),family
LSTM_nn48,NOx(GT),1,-0.8134358797204171,264.0098699636262,193.9474693882657,61.46095082641083,RNN
Naive,NOx(GT),1,-0.9990131280745462,275.963494688541,201.080142475512,63.88216789705478,Other
GBDT,C6H6(GT),6,0.4243903969474721,4.841519981132055,3.796392761780288,94.74300370822372,Tree
Lasso,C6H6(GT),6,0.3461685736846103,5.160010776984226,4.024147802986315,104.30653940406044,Linear/Kernel
ElasticNet,C6H6(GT),6,0.3394783135431126,5.186343216658239,4.061927519296714,106.26602978996112,Linear/Kernel
ExtraTrees,C6H6(GT),6,0.3378325284701938,5.192800458043316,4.043349843819722,103.63749648207435,Tree
RandomForest,C6H6(GT),6,0.2792298151843759,5.417714559914047,4.221471366949278,103.19413527165548,Tree
LinearRegression,C6H6(GT),6,0.2619144490189847,5.4824043690506805,4.320287238682944,110.53610454736015,Linear/Kernel
Ridge,C6H6(GT),6,0.2513413370334207,5.521532595612396,4.446401728903976,123.47440712669622,Linear/Kernel
LinearSVR,C6H6(GT),6,0.2307734860749902,5.596865054003349,4.5097990126441605,125.86943923793892,Linear/Kernel
LSTM,C6H6(GT),6,0.0119065360699062,6.365768321146748,5.453809451970891,185.1248594590909,RNN
GRU_nn48,C6H6(GT),6,-0.0355819908403447,6.545224622269696,4.754732870649455,70.56948102084047,RNN
GRU,C6H6(GT),6,-0.1256743732357463,6.794510982798217,5.802313544064411,212.67672610097375,RNN
LSTM_nn48,C6H6(GT),6,-0.2526805213419325,7.198673445133562,5.648865329120359,140.39794950279327,RNN
DecisionTree,C6H6(GT),6,-0.4378941480676195,7.652109415568117,5.048255008355024,102.15508450668824,Tree
Naive,C6H6(GT),6,-1.5500363231307903,10.190392137854586,8.028246318607765,260.89634391699707,Other
MLP,C6H6(GT),6,-1.804920954141,10.68754672850239,8.521400670238293,234.2190556313358,Other
ExtraTrees,CO(GT),6,0.3200274315821454,1.09065580708341,0.828498661311914,81.37876229884971,Tree
GBDT,CO(GT),6,0.2965393655481004,1.10933296685588,0.8572111042717582,85.01595157698542,Tree
LinearRegression,CO(GT),6,0.2775284441717733,1.1242228195433543,0.8649268727441036,80.01824128779026,Linear/Kernel
LinearSVR,CO(GT),6,0.2717070051556554,1.1287430417103177,0.9114045770826792,91.4919151782918,Linear/Kernel
RandomForest,CO(GT),6,0.2676255680440973,1.1319014253589548,0.8927895284843075,89.41723382157821,Tree
Ridge,CO(GT),6,0.246612695957322,1.1480245315077406,0.9266074787802268,93.6596585378276,Linear/Kernel
GRU_nn48,CO(GT),6,0.214652287841359,1.1795778588883414,0.8526105938854551,63.45408185515047,RNN
MLP,CO(GT),6,0.2055347554446953,1.1789067957443526,0.91643605387789,80.28302424804585,Other
ElasticNet,CO(GT),6,0.1710185157346627,1.204243844127996,0.984972492406673,100.73200019423932,Linear/Kernel
Lasso,CO(GT),6,0.1357889339755756,1.229566242690437,1.0109610529697373,104.18215468540272,Linear/Kernel
LSTM_nn48,CO(GT),6,0.1303058725912257,1.2413060994257787,0.8958092802060716,65.70505416078599,RNN
GRU,CO(GT),6,0.1167388390259913,1.246846176232474,1.0065032718953408,103.98648330662958,RNN
LSTM,CO(GT),6,0.0674031855157477,1.2811951165589173,0.9690368561190028,89.83018737772319,RNN
DecisionTree,CO(GT),6,-0.4352084055599079,1.5845264909195316,1.1554349713076262,98.24913376715476,Tree
Naive,CO(GT),6,-0.9870754108364296,1.864443359452593,1.4306559571619812,124.95482606431192,Other
GBDT,NO2(GT),6,0.4473798119586103,37.136331914960685,29.19322601371428,24.44185323484788,Tree
Lasso,NO2(GT),6,0.4088877038807844,38.40790584732828,29.994300915035687,25.817741839262613,Linear/Kernel
