horizon_h,R2_mean,R2_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std
1,0.739397244606273,0.08080142147987941,31.323592591422454,40.01465231863449,22.45740981755518,28.22760103372313
6,0.19179019166302008,0.39160681786368795,53.904528159747144,69.20572451028032,40.566691064297274,51.42716804349069
12,0.18942598525899196,0.2734697394886499,55.82087818206592,72.43333434228332,40.876654817723036,52.16497833118436
24,0.02266780076128403,0.7646973650031967,57.1603747648919,73.1226743476703,42.39525795672186,53.63660407107272
