model,pollutant,horizon_h,RMSE,MAE,MAPE(%),R2,fit_time_s,n_train,n_test,params
MLP,NOx(GT),12,174.00563900800574,132.30762650493546,52.91312848579892,0.20769826493355414,8.785135507583618,7086,2235,"{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'solver': 'adam', 'learning_rate_init': 0.001, 'batch_size': 256, 'max_iter': 400, 'early_stopping': True, 'n_iter_no_change': 20, 'random_state': 42, 'verbose': False}"
LinearSVR,NOx(GT),12,166.13315012752545,117.97952037384667,43.20173851600578,0.2777682748227701,0.5422604084014893,7086,2235,"{'epsilon': 0.0, 'C': 1.0, 'loss': 'squared_epsilon_insensitive', 'max_iter': 5000, 'random_state': 42}"
MLP,NOx(GT),24,207.84933374614252,160.5178093877611,74.23814758347433,-0.12975213171290667,11.1914222240448,7086,2223,"{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'solver': 'adam', 'learning_rate_init': 0.001, 'batch_size': 256, 'max_iter': 400, 'early_stopping': True, 'n_iter_no_change': 20, 'random_state': 42, 'verbose': False}"
LinearSVR,NOx(GT),24,165.27771847985252,118.19883960806558,43.11236240618228,0.28564430017639897,0.5377278327941895,7086,2223,"{'epsilon': 0.0, 'C': 1.0, 'loss': 'squared_epsilon_insensitive', 'max_iter': 5000, 'random_state': 42}"
MLP,NO2(GT),1,24.86416614693294,18.71917050857712,16.121966780824724,0.7518873680378692,3.482478141784668,7086,2246,"{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'solver': 'adam', 'learning_rate_init': 0.001, 'batch_size': 256, 'max_iter': 400, 'early_stopping': True, 'n_iter_no_change': 20, 'random_state': 42, 'verbose': False}"
LinearSVR,NO2(GT),1,23.707986580361855,17.83659625266184,15.335113672064834,0.7744252821235287,0.4332234859466553,7086,2246,"{'epsilon': 0.0, 'C': 1.0, 'loss': 'squared_epsilon_insensitive', 'max_iter': 5000, 'random_state': 42}"
MLP,NO2(GT),6,42.90558415773627,33.66820824332855,32.2881247875225,0.2623397604033624,6.456458806991577,7086,2241,"{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'solver': 'adam', 'learning_rate_init': 0.001, 'batch_size': 256, 'max_iter': 400, 'early_stopping': True, 'n_iter_no_change': 20, 'random_state': 42, 'verbose': False}"
LinearSVR,NO2(GT),6,38.46391433589205,30.09586588901636,26.004010712031896,0.40716246294510927,0.48563122749328613,7086,2241,"{'epsilon': 0.0, 'C': 1.0, 'loss': 'squared_epsilon_insensitive', 'max_iter': 5000, 'random_state': 42}"
MLP,NO2(GT),12,41.64600395134501,32.755614152708546,27.628652987700193,0.3054317829706975,7.177408933639526,7086,2235,"{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'solver': 'adam', 'learning_rate_init': 0.001, 'batch_size': 256, 'max_iter': 400, 'early_stopping': True, 'n_iter_no_change': 20, 'random_state': 42, 'verbose': False}"
LinearSVR,NO2(GT),12,39.31938608900888,30.193805455000746,24.166818232636786,0.3808702239815859,0.5675477981567383,7086,2235,"{'epsilon': 0.0, 'C': 1.0, 'loss': 'squared_epsilon_insensitive', 'max_iter': 5000, 'random_state': 42}"
MLP,NO2(GT),24,48.79026745512943,38.008378910299754,32.83106318096239,0.05088429522114368,12.24872088432312,7086,2223,"{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'solver': 'adam', 'learning_rate_init': 0.001, 'batch_size': 256, 'max_iter': 400, 'early_stopping': True, 'n_iter_no_change': 20, 'random_state': 42, 'verbose': False}"
LinearSVR,NO2(GT),24,39.52841560650254,30.51258574649207,23.541513564460097,0.3770236265006347,0.5487067699432373,7086,2223,"{'epsilon': 0.0, 'C': 1.0, 'loss': 'squared_epsilon_insensitive', 'max_iter': 5000, 'random_state': 42}"
